X,Y,FID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,TimeStampDate
-6.83669999999995,52.7168,1,Carlow,56932,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.29369999999994,53.9878,2,Cavan,76176,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-8.98889999999994,52.8917000000001,3,Clare,118817,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-8.63719999999995,51.9517000000001,4,Cork,542868,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.95999999999998,54.8989,5,Donegal,159192,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.29199999999997,53.3605000000001,6,Dublin,1347359,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-8.73619999999994,53.3705,7,Galway,258058,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-9.56499999999994,52.1689000000001,8,Kerry,147707,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.78369999999995,53.2380000000001,9,Kildare,222504,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.21749999999997,52.5816,10,Kilkenny,99232,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.34229999999997,52.9952000000001,11,Laois,84697,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.99389999999994,54.1261000000001,12,Leitrim,32044,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-8.74119999999994,52.5255000000001,13,Limerick,194899,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.69519999999994,53.7325000000001,14,Longford,40873,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.48699999999997,53.9161,15,Louth,128884,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-9.25369999999998,53.9191000000001,16,Mayo,130507,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.71499999999997,53.6851,17,Meath,195044,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.94519999999994,54.1857000000001,18,Monaghan,61386,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.66069999999996,53.2632,19,Offaly,77961,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-8.27349999999996,53.8008,20,Roscommon,64544,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-8.53449999999998,54.1581,21,Sligo,65535,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.92059999999998,52.6407,22,Tipperary,159553,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.49349999999993,52.2035000000001,23,Waterford,116176,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-7.42189999999994,53.5524,24,Westmeath,88770,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.50369999999998,52.5164,25,Wexford,149722,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.34419999999994,53.0205,26,Wicklow,142425,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,,,,2020/02/27 00:00:00+00
-6.83669999999995,52.7168,27,Carlow,56932,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-7.29369999999994,53.9878,28,Cavan,76176,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-8.98889999999994,52.8917000000001,29,Clare,118817,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-8.63719999999995,51.9517000000001,30,Cork,542868,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-7.95999999999998,54.8989,31,Donegal,159192,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-6.29199999999997,53.3605000000001,32,Dublin,1347359,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-8.73619999999994,53.3705,33,Galway,258058,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-9.56499999999994,52.1689000000001,34,Kerry,147707,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-6.78369999999995,53.2380000000001,35,Kildare,222504,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-7.21749999999997,52.5816,36,Kilkenny,99232,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-7.34229999999997,52.9952000000001,37,Laois,84697,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-7.99389999999994,54.1261000000001,38,Leitrim,32044,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
-8.74119999999994,52.5255000000001,39,Limerick,194899,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,,,,2020/03/01 00:00:00+00
