start,end,policy
29/02/2020,11/03/2020,No Intervention
12/03/2020,26/03/2020,School Closure
27/03/2020,18/05/2020,Intense Lockdown
19/05/2020,07/06/2020,Relax Intervention 1
08/06/2020,28/06/2020,Relax Intervention 2
29/06/2020,17/08/2020,Relax Intervention 3
18/08/2020,17/09/2020,Lockdown Level 2
18/09/2020,20/10/2020,Lockdown Level 3
21/10/2020,30/11/2020,Lockdown Level 5
01/12/2020,18/12/2020,Pre-Christmas Level 3
19/12/2020,03/01/2021,Holiday period
04/01/2021,31/01/2021,After-Christmas Level 5
