start,end,policy,Scale,Scale_lb,Scale_ub
29/02/2020,11/03/2020,No Intervention,1.01952,0.748,1.471
12/03/2020,26/03/2020,School Closure,2.114842,1.681,2.424
27/03/2020,18/05/2020,Intense Lockdown,0.1554196,0.131,0.179
19/05/2020,07/06/2020,Relax Intervention 1,0.05411131,0.026,0.112
08/06/2020,28/06/2020,Relax Intervention 2,0.1555254,0.098,0.259
29/06/2020,17/08/2020,Relax Intervention 3,0.42444,0.349,0.478
18/08/2020,17/09/2020,Lockdown Level 2,0.459333,0.396,0.556
18/09/2020,20/10/2020,Lockdown Level 3,0.3194528,0.273,0.373
21/10/2020,30/11/2020,Lockdown Level 5,0.1520108,0.105,0.192
01/12/2020,18/12/2020,Pre-Christmas Level 3,0.8319415,0.586,1.135
19/12/2020,03/01/2021,Holiday period,0.7270618,0.542,0.962
04/01/2021,10/02/2021,After-Christmas Level 5,0.0173905,0.003,0.11
11/02/2021,09/05/2021,Lockdown Level 5,0.1520108,0.105,0.192
10/05/2021,16/05/2021,Lockdown Level 3,0.3194528,0.273,0.373
