"","agegroup","popage","propage"
"1",1,313545,0.064036436915394
"2",2,354904,0.0724833360666602
"3",3,342476,0.0699451203783714
"4",4,314896,0.0643123565641611
"5",5,297248,0.0607080412707172
"6",6,291348,0.0595030627897948
"7",7,326744,0.066732116740766
"8",8,394986,0.0806694288585811
"9",9,370426,0.0756534506396904
"10",10,348705,0.0712172917271283
"11",11,309832,0.0632781174069762
"12",12,283796,0.0579606903342141
"13",13,250862,0.0512344596069769
"14",14,219586,0.044846848256243
"15",15,184977,0.0377785261806083
"16",16,292022,0.0596407162637171
