No Intervention,School Closure,Intense Lockdown,Relax Intervention 1,Relax Intervention 2,Relax Intervention 3,Lockdown Level 2,Lockdown Level 3,Lockdown Level 5,Pre-christmas Level 3,Holiday period,After-christmas Level 5
1.263694371,2.003813404,0.143985615,0.055219549,0.169425932,0.392833962,0.513119955,0.342659775,0.109489438,0.99115157,0.706230371,0.020284235
1.118883062,1.871611333,0.17550979,0.059048887,0.131377717,0.432862481,0.453411547,0.301341468,0.172133825,0.786571813,0.795779446,0.011913644
1.406710649,1.722078288,0.160959717,0.112414538,0.099158464,0.425028247,0.438531657,0.359806431,0.148215114,0.784100568,0.753140823,0.012698465
1.073220464,2.144343874,0.149724074,0.049182614,0.223608532,0.401375571,0.426478034,0.365013757,0.099910986,1.121134545,0.645425237,0.006632521
1.108980314,2.049726753,0.152257475,0.055846323,0.160632934,0.424181665,0.411319444,0.363094752,0.123557373,0.928219238,0.688541322,0.017540575
1.103458915,2.037437523,0.147155887,0.040287898,0.22068112,0.388521715,0.493496438,0.311493125,0.143439528,0.921656235,0.65651085,0.059525502
0.526479591,2.551760649,0.167418673,0.052696125,0.206329768,0.403565036,0.443428797,0.335309038,0.100488113,1.042347486,0.796762431,0.013659525
1.046210959,2.003173287,0.167096023,0.072316157,0.09779208,0.442389441,0.466587146,0.327744115,0.132015043,0.948030026,0.64573082,0.010009362
0.731622653,2.61225386,0.137917947,0.054639898,0.119976247,0.445758699,0.465022705,0.304571314,0.179791647,0.862019181,0.613185178,0.082481451
0.807685674,2.381348189,0.151329417,0.065454428,0.112527312,0.428039979,0.483801049,0.326247317,0.146013324,0.79763979,0.69597056,0.108863047
1.138584375,2.141699629,0.138079095,0.077156566,0.184510284,0.379289133,0.517298404,0.286218317,0.158357883,0.792924989,0.78129303,0.005464816
1.022922263,2.007897337,0.171676888,0.048627067,0.151440144,0.405396205,0.481858273,0.32344782,0.150119449,0.733924924,0.833848827,0.039082824
0.982483969,2.134883285,0.161158874,0.058477525,0.20456059,0.378911693,0.477610517,0.321948069,0.155507719,0.834947876,0.713823802,0.01932335
0.841080867,2.364564899,0.139614963,0.044000137,0.208697662,0.420491917,0.433127002,0.373969144,0.127433042,0.737367961,0.888457667,0.011891401
0.988079662,2.017389358,0.168706277,0.056163448,0.135936167,0.403021337,0.543244708,0.273239184,0.184680468,0.687856612,0.65494706,0.099301656
1.095436031,1.969741207,0.16604312,0.034197672,0.250663375,0.369773946,0.483226311,0.316319143,0.141803479,0.967237211,0.514578871,0.082816621
0.795031299,2.388704208,0.140966785,0.094152184,0.182387119,0.382291205,0.487190581,0.311923975,0.144102739,0.978918408,0.64584035,0.002971708
0.878533023,2.351740658,0.136201312,0.05643532,0.249356704,0.374166163,0.50463939,0.309371344,0.124896492,1.025996925,0.661856973,0.014275118
1.361499929,1.742281113,0.159173712,0.063409391,0.082639379,0.496964824,0.419860369,0.303129331,0.158037611,0.735951209,0.881566539,0.081451517
0.776707087,2.344804294,0.156345313,0.023720226,0.192906613,0.431962785,0.433610848,0.336406328,0.117746428,0.965395239,0.712472856,0.055664025
0.786076857,2.376333798,0.151481374,0.062884001,0.116757466,0.435806747,0.506227261,0.296808256,0.149519477,0.82095629,0.800714827,0.005787752
1.230055995,1.966955517,0.140333603,0.048796442,0.248947884,0.398985214,0.469136328,0.304988164,0.150247109,0.792913402,0.730395031,0.037346003
1.031864784,2.152407378,0.161763135,0.047678256,0.16344004,0.388639662,0.48653454,0.34038262,0.126657877,0.926348765,0.674290446,0.017991023
1.11675558,1.911672,0.176527792,0.056228125,0.120650112,0.424327217,0.479220715,0.316467397,0.147837075,0.839895781,0.762500775,0.011213751
1.097108122,2.179992341,0.131248782,0.079931623,0.106882621,0.48282341,0.424767153,0.32400798,0.11350197,1.13380541,0.577166202,0.013468665
1.352164237,1.920332681,0.149829991,0.076770844,0.208732251,0.35437581,0.461912372,0.372897149,0.121923758,1.000523247,0.655419414,0.013263573
0.953028643,2.088688508,0.160589552,0.043653822,0.155205218,0.437884993,0.442994031,0.310741651,0.182942278,0.556879168,1.008870696,0.028136907
1.204263299,2.030644379,0.13769963,0.029837452,0.198362389,0.44640118,0.418835196,0.322662299,0.160792246,0.828830596,0.754862087,0.010333683
1.155591758,1.97381674,0.156222852,0.06642491,0.127264471,0.410099555,0.455607631,0.356441631,0.146753745,0.975369187,0.580789653,0.024059621
1.232882878,1.940599161,0.152220199,0.064152815,0.237621156,0.386119719,0.418645705,0.332048293,0.163609835,0.704886182,0.879935606,0.014454735
0.746607924,2.438298483,0.155220326,0.042854808,0.186056609,0.390939222,0.475182451,0.347211496,0.123667003,0.97704725,0.749567885,0.010819096
1.025932861,2.083695889,0.15285995,0.083159987,0.13741925,0.408658217,0.484757021,0.327540646,0.136521252,0.809722861,0.799865932,0.063949068
1.077957758,2.179153387,0.143230604,0.067992912,0.186354022,0.371018742,0.51471284,0.321983974,0.142354382,0.883082417,0.681565011,0.011344258
1.235555373,1.996374918,0.141873719,0.089701524,0.127299907,0.428454445,0.451747906,0.306885604,0.166969865,0.81809226,0.70313548,0.012775924
1.04832605,1.933355961,0.175787345,0.048285914,0.168407392,0.41769397,0.396335143,0.367116233,0.14233814,0.966154135,0.661136091,0.016472012
1.100507123,1.966060703,0.151676613,0.048196849,0.232552872,0.388746534,0.48238772,0.300779772,0.187753545,0.568033243,0.862252526,0.04413614
1.371001173,1.849301183,0.136899795,0.061134378,0.197136637,0.411452816,0.477570004,0.310871265,0.129534381,1.032612141,0.673673171,0.003969843
1.033466689,2.185661446,0.145712332,0.085971282,0.154080836,0.341684491,0.593069665,0.312098645,0.170836625,0.596572958,1.04183836,0.002879074
1.048239178,2.001126138,0.166342384,0.0293717,0.128112505,0.470931308,0.405758766,0.332763116,0.153285958,0.919358066,0.549009883,0.078357278
